"NAME","Compañía telefónica","Tecnología","null","Memoria Interna","A prueba de agua","Clasificación Procesador","Cámara frontal","Cámara trasera","Procesador","Tipo de monitor","Resistencia máxima sumergible","Pantalla Touch","Cámaras Integradas","Internet / Multimedia","Garantía del fabricante - Partes","Garantía del fabricante - Mano de Obra","Modelo","Color de Producto","Gama de color","Nombre del Producto","Marca","EAN/UPC","Wireless Charging","Tipo de pantalla","Interfaz","Carga inalámbrica","Modelo de celular","Tarjeta de expansión","Phone Memory (RAM)","Ranura de la tarjeta multimedia","Alto Producto","Ancho Producto","Profundidad Producto","Peso Producto","A prueba de golpes","Salida de auriculares","Tipo de Batería","Usage Time(s)","Sincronización"
"Motorola - Motorola Edge - Gris (Telcel)","TELCEL","3G, 4G, GSM","Sí","128 GB","No","Qualcomm","25 megapixels","64 megapixels","","","","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","XT2063-3","Gris","Gris","Motorola - Motorola Edge - Gris (Telcel)","Motorola","7506227337408","","OLED","","","","","6 GB","microSD","16.1 cm","7.1 cm","0.92 cm","0.190 kg","","Sí","","",""
"Samsung - Galaxy A51 - Negro (Telcel)","TELCEL","4G LTE","Sí","128 GB","No","Samsung","32 megapixels","","Exynos 9611","Acelerómetro, Barómetro, Sensor de Proximidad, Sensor de huellas dactilares","","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","Samsung Galaxy A51","Negro","Negro","Samsung - Galaxy A51 - Negro (Telcel)","Samsung","7506227336685","","","","","Samsung Galaxy A51","","6 GB","","","","","","","","iones de Litio","",""
"Motorola - Moto G9 Play - Azul - ATT","AT&T","4G","Sí","64 GB","No","Qualcomm","","","Qualcomm Snapdragon 662","","","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 año","1 año","XT2083-1","","Azul","Motorola - Moto G9 Play - Azul - ATT","Motorola","7501882632684","","TFT-LCD","","","","","4 GB","","","","","0.200 kg","","","iones de Litio","48","Google Assistant"
"Huawei Mate 20 - Negro (Telcel)","TELCEL","4G LTE","Sí","128 GB","No","HiSilicon","24 megapixels","12 megapixels","Kirin 980","Acelerómetro, Barómetro, Brújula, Sensor Giroscópico, Sensor de Luz Ambiental, Sensor de Proximidad","","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","Huawei Mate 20","Negro","Negro","Huawei Mate 20 - Negro (Telcel)","Huawei","7506227331697","","","USB Type C","","","","4 GB","","","","","","No","","iones de Litio","",""
"Samsung -  Galaxy A6 Plus - Negro (AT&T)","AT&T","4G","Sí","16 GB","No","Qualcomm Snapdragon","13 megapixels","5 megapixels","450","Acelerómetro, Barómetro, Brújula, Sensor Giroscópico, Sensor de Gestos, Sensor de Proximidad, Sensor de huellas dactilares","","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","Samsung Galaxy A6 Plus","Negro","Negro","Samsung -  Galaxy A6 Plus - Negro (AT&T)","Samsung","7501882619524","","Super AMOLED Plus","","","","Nano SIM","3 GB","microSD","","","","","No","","iones de Litio","",""
"Samsung -  Galaxy A6 Plus - Lavanda (AT&T )","AT&T","4G","Sí","16 GB","No","Qualcomm Snapdragon","13 megapixels","5 megapixels","450","Acelerómetro, Barómetro, Brújula, Sensor Giroscópico, Sensor de Gestos, Sensor de Proximidad, Sensor de huellas dactilares","","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","Samsung Galaxy A6 Plus","Lavanda","Morado","Samsung -  Galaxy A6 Plus - Lavanda (AT&T )","Samsung","7501882619531","","Super AMOLED Plus","","","","Nano SIM","3 GB","microSD","","","","","No","","iones de Litio","",""
"Apple - iPhone XS - 256 GB - Gris Espacial (AT&T)","AT&T","4G LTE","Sí","256 GB","Sí","Apple","7 megapixels","12 megapixels","A12 Chip bionico con motor neuronal de próxima generación","Acelerómetro, Sensor Giroscópico, Sensor de Luz Ambiental, Sensor de Proximidad","5 feet","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","Apple iPhone XS","Gris Espacial","Space Gray","Apple - iPhone XS - 256 GB - Gris Espacial (AT&T)","Apple","190198791931","","Super Retina HD display","Lightning","","Apple iPhone XS","Nano SIM","","","","","","","","","iones de Litio","",""
"Samsung - Galaxy A30s Lila (AT&T)","AT&T","4G LTE","Sí","32 GB","No","","16 megapixels","5 megapixels","Exynos 7904","","","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","Samsung Galaxy A30s","Lila","Morado","Samsung - Galaxy A30s Lila (AT&T)","Samsung","7501882623613","","Super AMOLED","USB Type C","","","Nano SIM","4 GB","","","","","","","","","",""
"Motorola - Moto E6 Play - Negro (Telcel)","TELCEL","4G LTE","Sí","16 GB","No","Qualcomm","5 megapixels","13 megapixels","","","","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","Moto E6 Play","Negro","Negro","Motorola - Moto E6 Play - Negro (Telcel)","Motorola","7506227335077","","IPS-LCD","","","Motorola Moto E Play (6th Gen.)","Nano SIM","1 GB","","","","","","","","iones de Litio","","Google Assistant"
"Motorola - Moto E6 Play - Azul (Telcel)","TELCEL","4G LTE","Sí","16 GB","No","Qualcomm","5 megapixels","13 megapixels","","","","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","Moto E6 Play","Azul","Azul","Motorola - Moto E6 Play - Azul (Telcel)","Motorola","7506227335060","","IPS-LCD","","","Motorola Moto E Play (6th Gen.)","Nano SIM","1 GB","","","","","","","","iones de Litio","","Google Assistant"
"Honor - Honor 9X - Negro (AT&T)","AT&T","4G LTE","Sí","128 GB","No","ARM","16 megapixels","","","","","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","STK-LX3","","Negro","Honor - Honor 9X - Negro (AT&T)","Honor","7501882627567","","TFT-LCD","","","","","6 GB","","","","","","","","","",""
