NAME,Compañía telefónica,Tecnología,Memoria Interna,A prueba de agua,Cámara frontal,Cámara trasera,Procesador,Resistencia máxima sumergible,Gama de color,Marca
Samsung - Galaxy 01 - Negro (Telcel),TELCEL,"2G, 3G, 4G, GSM, LTE, WCDMA (UMTS)",16 GB,No,5 megapixels,13 megapixels,Octa-core,,Negro,Samsung
Apple - iPhone XS - 64 GB - Plata (AT&T),AT&T,4G LTE,64 GB,Sí,7 megapixels,12 megapixels,A12 Chip bionico con motor neuronal de próxima generación,5 feet,Plata,Apple
Apple - iPhone 8 64 GB - Oro (AT&T),AT&T,4G,64 GB,Sí,12 megapixels,7 megapixels,Chip A11 Bionic con arquitectura de 64 bits,0 feet,Dorado,Apple
Motorola - Moto G9 Plus - Azul - ATT,AT&T,4G,128 GB,No,,,Qualcomm Snapdragon 730G,,Azul,Motorola
OPPO - A9 2020 - CPH1941 - Azul (Telcel),TELCEL,3G,128 GB,No,,,Qualcomm Snapdragon SDM665 Octacore 1.8,,Azul,Oppo
Motorola - Moto One Vision - Azul (Telcel),TELCEL,4G LTE,128 GB,No,25 megapixels,48 megapixels,Exynos 9609,,Azul,Motorola
Samsung - Galaxy A20s - Azul (AT&T),AT&T,4G LTE,32 GB,No,8 megapixels,13 megapixels,,,Azul,Samsung
Apple - iPhone XS - 256 GB - Oro (AT&T),AT&T,4G LTE,64 GB,Sí,7 megapixels,12 megapixels,A12 Chip bionico con motor neuronal de próxima generación,5 feet,Oro Rosa,Apple
Motorola - Moto G8 Power - Gris (AT&T),AT&T,4G LTE,32 GB,No,16 megapixels,,,,Gris,Motorola
Samsung - Galaxy A11 - Blanco (AT&T),AT&T,"2G, 3G, LTE",64 GB,No,8 megapixels,13 megapixels,"Qualcomm SDM450, Octa-core (8 núcleos a 1.8 GHz)",,Blanco,Samsung
Huawei - Y6S - Azul (ATT),AT&T,4G LTE,64 GB,No,8 megapixels,13 megapixels,"Mediatek, MT6765, Octa-core: (4 x 2.3GHz + 4 x 1.8GHz)",,Azul,Huawei
Apple - iPhone XS - 256 GB - Plata (AT&T),AT&T,4G LTE,256 GB,Sí,7 megapixels,12 megapixels,A12 Chip bionico con motor neuronal de próxima generación,5 feet,Plata,Apple
Samsung - Galaxy J8 - Negro - AT&T,AT&T,4G LTE,32 GB,No,16 megapixels,16 megapixels,450,,Negro,Samsung
ZTE - LTE 2050 Blade V Smart - Rojo (Telcel),TELCEL,"3G, 4G, GSM, LTE",128 GB,No,13 megapixels,16 megapixels,MediaTek MT6771,,Rojo,ZTE
Samsung - Galaxy A51 - Negro (AT&T),AT&T,4G LTE,128 GB,No,32 megapixels,,Exynos 9611,,Negro,Samsung
Samsung - Celular Note 20 Mystic 4G - Gris - ATT,AT&T,"4G, GSM",256 GB,Sí,,,Exynos 990,4.9 feet,Gris,Samsung
